DateTime,Entries,UniqueIPs
1512342161,3,3
1512372767,4,4
1512384277,3,3
1512392196,4,4
1512411420,3,3
1512415455,4,4
1512458190,3,3
1512477867,2,2
1512501898,1,1
1512561728,2,2
1512589037,3,3
1512602925,4,4
1512649567,3,3
1512655290,4,4
1512659302,25,25
1512668779,26,26
1512672522,27,27
1512674424,26,26
1512689008,25,25
1512690998,26,26
1512709017,48,48
1512710903,49,49
1512736379,50,50
1512740208,51,51
1512742120,50,50
1512745968,29,29
1512754118,28,28
1512759871,27,27
1512776665,26,26
1512795693,4,4
1512803540,3,3
1512822760,2,2
1512826840,1,1
1512896521,2,2
1512910108,3,3
1512922604,4,4
1512981865,3,3
1512997291,2,2
1513008762,1,1
1513012598,2,2
1513055783,3,3
1513098310,2,2
1513152095,3,3
1513177025,4,4
1513181467,3,3
1513239620,2,2
1513262123,1,1
1513275849,2,2
1513281884,3,3
1513295317,4,4
1513312742,5,5
1513361314,4,4
1513368986,3,3
1513381220,2,2
1513388919,3,3
1513394897,4,4
1513399010,3,3
1513406962,4,4
1513424694,5,5
1513458073,6,6
1513459972,7,7
1513475561,6,6
1513477474,7,7
1513479394,6,6
1513493793,5,5
1513511160,4,4
1513529542,5,5
1513545101,4,4
1513547082,3,3
1513562925,2,2
1513593861,3,3
1513607796,4,4
1513611639,5,5
1513617424,4,4
1513680470,3,3
1513694463,2,2
1513698308,1,1
1513749691,2,2
1513934383,3,3
1513969286,2,2
1513998988,4,4
1514016267,5,5
1514020101,4,4
1514086126,5,5
1514102046,3,3
1514107793,2,2
1514157417,3,3
1514172753,2,2
1514242243,1,1
1514248089,65,65
1514251720,67,67
1514257581,68,68
1514312675,85,85
1514336201,21,21
1514338270,19,19
1514344365,65,65
1514397795,48,48
1514403860,49,49
1514431266,2,2
1514461238,5,5
1514489559,4,4
1514516675,50,50
1514547623,47,47
1514585832,51,51
1514594092,110,110
1514600125,111,111
1514602008,65,65
1514672031,61,61
1514673984,135,135
1514679875,76,76
1514685880,75,75
1514758968,4,4
1514760986,1,1
1514781410,2,2
1514791259,87,87
1514793150,94,94
1514865878,95,95
1514867782,94,94
1514877649,9,9
1514879556,2,2
1514902608,3,3
1514904575,5,5
1514917006,64,64
1514931407,65,65
1514952747,64,64
1514958533,102,102
1514960434,133,133
1514987548,175,175
1514989473,182,182
1514991396,181,181
1515002948,122,122
1515018537,121,121
1515133538,3,3
1515147015,15,15
1515148949,18,18
1515170665,17,17
1515172505,39,39
1515174754,40,40
1515221796,39,39
1515233898,27,27
1515235921,24,24
1515251415,25,25
1515253399,116,116
1515255319,146,146
1515259308,123,123
1515274811,124,124
1515323549,242,242
1515329239,243,243
1515336951,242,242
1515340778,121,121
1515344508,167,167
1515346364,213,213
1515360285,212,212
1515382747,213,213
1515408237,113,113
1515410046,95,95
1515413881,109,109
